Company;Email;Sito
Fassa;info@fassa.com;https://fassa.com
Vega Cooperativa;servicedepresse@vega.coop;https://vega.coop
Stiga;international@support.stiga.com;https://stiga.com
ICM;fkt@icmspa.it;https://icmspa.it
Grandi Molini Italiani;arezzo@grandimolini.it;https://grandimolini.it
Guerrato;info@guerrato.it;https://guerrato.it
IRSAP;info@irsap.com;https://irsap.com
Cartiere del Polesine;info@cartieredelpolesine.it;https://cartieredelpolesine.it
Finpesca;info@finpesca.it;https://finpesca.it
Donatoni Macchine;parts@donatonimacchine.eu;https://donatonimacchine.eu
La Marca;lamarca@lamarca.it;https://lamarca.it
Allegrini;info@allegrini.it;https://allegrini.it
Berto;marketing@berto.it;https://berto.it
MABI Robotic AG;info@mabi-robotic.com;https://mabi-robotic.com
Roth Technik AG;info@rothtechnik.ch;https://rothtechnik.ch
GS Swiss PCB AG;info@gs-swiss.com;https://gs-swiss.com
Meto-Fer Automation AG;info@meto-fer.ch;https://meto-fer.ch
Agfar AG;info@agfar.ch;https://agfar.ch
BACH INDUSTRY AG;info@bach-industry.com;https://bach-industry.com
ROBO MAT AG;info@robomat.ch;https://robomat.ch
AD Swiss MedTech SA;info@adswissmed.ch;https://adswissmed.ch
Basilea Pharmaceutica Ltd;info@basilea.com;https://basilea.com
Sandoz AG;share.register@sandoz.com;https://sandoz.com
Roche Pharma Schweiz AG;patientcare@roche.com;https://roche.com
Schwab-Feller AG;info@schwab-feller.ch;https://schwab-feller.ch
OVERTECH GmbH;info@overtechsuisse.ch;https://overtechsuisse.ch
Wenger Automation;info@wenger-ag.ch;https://wenger-ag.ch
Robotronic AG;info@robotronic.ch;https://robotronic.ch
Pharmabotix;solutions@pharmabotix.ch;https://pharmabotix.ch
Kinematica;sales@kinematica.ch;https://kinematica.ch
Santhera Pharmaceuticals AG;deutschland@santhera.com;https://santhera.com
Stragen Pharma SA;info@stragen.ch;https://stragen.ch
Alpex Pharma;contact@alpex.com;https://alpex.com
APR Applied Pharma Research;info@apr.ch;https://apr.ch
Swiss Alp Health;info@swiss-alp-health.ch;https://swiss-alp-health.ch
Nerum Pharmaceuticals AG;info@nerumpharma.com;https://nerumpharma.com
MicroContact;office@microcontact.ch;https://microcontact.ch
Biltec AG;info@biltec.ch;https://biltec.ch
Schindler;finance.ch@schindler.com;https://schindler.com
Norhage Industri;info@norhageindustri.com;https://norhageindustri.com
Kongsberg Electronics AS;okonomi@kongsberg-electronics.no;https://kongsberg-electronics.no
JM Robotics;jostein@jmrobotics.no;https://jmrobotics.no
Step Solutions AS;post@stepsolutions.no;https://stepsolutions.no
Pharma Nordic AS;linda@pharmanordic.no;https://pharmanordic.no
ACD Pharmaceuticals AS;eirik.baardsen@acdpharma.com;https://acdpharma.com
Aqua Pharma;contact@aqua-pharma.com;https://aqua-pharma.com
Medhouse;iiro.jokinen@medhouse.com;https://medhouse.com
MIM PHARMA;mim@mimpharma.com;https://mimpharma.com
PanPharma Nordic AS;info@panpharma.no;https://panpharma.no
Pharmatech AS;info@pharmatech.no;https://pharmatech.no
Photocure ASA;info@photocure.no;https://photocure.no
Viatris Norway;hrservicecenter@viatris.com;https://viatris.com
Norconsult;firmapost@norconsult.com;https://norconsult.com
EOH Engineering;eoh@eoh.no;https://eoh.no
ARX Group AS Oslo;com@arx.ing;https://arx.ing
ARX Group AS Bergen;com@arx.ing;https://arx.ing
Kongsberg Maritime;km.support@km.kongsberg.com;https://km.kongsberg.com
Norner;post@norner.no;https://norner.no
Tandberg Engineering;post@tane.no;https://tane.no
Intek Robotics;post@intek.no;https://intek.no
Bristol Myers Squibb Norway;BMSBoardofDirectors@bms.com;https://bms.com
Gilead Sciences Norway;Privacy@gilead.com;https://gilead.com
Takeda AS;media_relations@takeda.com;https://takeda.com
GE Healthcare AS;paymentsupport@gehealthcare.com;https://gehealthcare.com
Fresenius Kabi Norge;pharmacovigilance@fresenius-kabi.com;https://fresenius-kabi.com
AlgiPharma AS;post@algipharma.com;https://algipharma.com
Arctic Bioscience AS;contact@arctic-bioscience.com;https://arctic-bioscience.com
Mericon AS;mericon@mericon.no;https://mericon.no
Vistin Pharma AS;magnus.tolleshaug@vistin.com;https://vistin.com
Xellia Pharmaceuticals;info.dk@xellia.com;https://xellia.com
LINK Medical Research;info@linkmedical.eu;https://linkmedical.eu
ALSO Holding;info@also.com;https://also.com
Ascom;group.communications@ascom.com;https://ascom.com
Bâloise;serviceclientele@baloise.ch;https://baloise.ch
Bühler;media.relations@buhlergroup.com;https://buhlergroup.com
Dormakaba;ONEdormakaba@dormakaba.com;https://dormakaba.com
Emmi AG;Info.IT@emmi.com;https://emmi.com
Geberit;konzernleitung@geberit.com;https://geberit.com
Gunvor;privacy@gunvorgroup.com;https://gunvorgroup.com
Jet Aviation;aog@jetaviation.com;https://jetaviation.com
PLATIT;china@platit.com;https://platit.com
Rehau Group;press@rehau.com;https://rehau.com
Roche;patientcare@roche.com;https://roche.com
Sandoz;investor.relations@sandoz.com;https://sandoz.com
Schindler Group;solothurn.ch@schindler.com;https://schindler.com
Trafigura;media@trafigura.com;https://trafigura.com
Von Roll;contact@vonroll.com;https://vonroll.com
Breitling;dataprivacy@breitling.com;https://breitling.com
Glycine;glycine@glycine-watch.ch;https://glycine-watch.ch
Bamix;info@bamix.com;https://bamix.com
Trisa;info@trisa.ch;https://trisa.ch
Feldschlösschen;info@feldschloesschen.ch;https://feldschloesschen.ch
Securitas;info@securitas.ch;https://securitas.ch
Atlanship;agency@atlanship.com;https://atlanship.com
Charriol;shop@charriol.com;https://charriol.com
Comlux;acjtwotwenty@comlux.com;https://comlux.com
Denner;info@denner.ch;https://denner.ch
Edipresse;group@edipresse.com;https://edipresse.com
Ex Libris;firmenkunden@exlibris.ch;https://exlibris.ch
Globus;service@globus.ch;https://globus.ch
Kempinski;reservations.corporate@kempinski.com;https://kempinski.com
Radio Zürisee;werbung@radiozuerisee.ch;https://radiozuerisee.ch
Rotpunktverlag;info@rotpunktverlag.ch;https://rotpunktverlag.ch
Tamedia;marcello.odermatt@tamedia.ch;https://tamedia.ch
Engineering Ingegneria Informatica;info@eng.it;https://eng.it
glueglue;info@glueglue.com;https://glueglue.com
Ekeria;info@ekeria.com;https://ekeria.com
Algòmera;privacy@algomera.it;https://algomera.it
Procne;info@procne.it;https://procne.it
BFENTERPRISE;info@bfenterprise.it;https://bfenterprise.it
Reply;info@reply.com;https://reply.com
Dedagroup;info@dedagroup.it;https://dedagroup.it
Seeweb;info@seeweb.it;https://seeweb.it
Bitrock;info@bitrock.it;https://bitrock.it
KUKA Italia;data-privacy@kuka.com;https://kuka.com
Universal Robots;sales@universal-robots.com;https://universal-robots.com
I-CON;i-con@iconservizi.com;https://iconservizi.com
Mono;hello@mono.studio;https://mono.studio
Eye-Tech;info@eye-tech.it;https://eye-tech.it
Datamantix;jobs@datamantix.com;https://datamantix.com
Alfa Service;info@alfaservice.it;https://alfaservice.it
