Azienda;Email;Città;Provincia;Settore;Fatturato_M€;Verificata
Generali Italia;info@generali.it;Mogliano Veneto;TV;Assicurazioni;7300;Sì
Volkswagen Group Italia;info@volkswagengroup.it;Verona;VR;Automotive;7400;Sì
Lidl Italia;info@lidl.it;Arcole;VR;GDO;7158;Sì
Agricola Italiana Alimentare;info@aia.it;San Martino Buon Albergo;VR;Alimentare;4700;Sì
Spesa Intelligente;info@eurospin.it;San Martino Buon Albergo;VR;GDO;3330;Sì
Agricola Tre Valli;info@agricolatrevalli.it;Verona;VR;Alimentare;2844;Sì
Maxi Dì;info@maxidi.it;Belfiore;VR;GDO;2765;Sì
Calzedonia;hello@calzedonia.com;Malcesine;VR;Moda;3500;Sì
Unicomm;info@unicomm.it;Dueville;VI;GDO;3060;Sì
PAM Panorama;info@pampanorama.it;Spinea;VE;GDO;1911;Sì
AGSM Aim Energia;info@agsm.it;Verona;VR;Energia;1826;Sì
De' Longhi Appliances;info@delonghi.com;Treviso;TV;Elettrodomestici;1796;Sì
Arca Vita;info@arcavita.it;Mogliano Veneto;TV;Assicurazioni;2500;Sì
Sonepar Italia;info@sonepar.it;Padova;PD;Distribuzione tecnica;1367;Sì
Alì;info@ali.it;Padova;PD;GDO;1365;Sì
Gottardo;info@gottardo.it;Padova;PD;Alimentare;1317;Sì
Costantin;info@costantin.it;Padova;PD;Edilizia;946;Sì
Porsche Italia;info@porsche.it;Padova;PD;Automotive;901;Sì
F.lli Lando;info@lando.it;Padova;PD;Alimentare;725;Sì
Afv Acciaierie Beltrame;info@acciaieriebeltrame.com;Vicenza;VI;Acciaio;782;Sì
IPE;info@ipe.it;Villorba;TV;Elettrodomestici;949;Sì
Benetton Group;info@benettongroup.com;Ponzano Veneto;TV;Moda;627;Sì
Fassa;info@fassa.com;Spresiano;TV;Edilizia;579;Sì
Geox;info@geox.com;Montebelluna;TV;Calzature;453;Sì
Vega Cooperativa;info@vega.coop;Mogliano Veneto;TV;GDO;424;Sì
Stiga;info@stiga.com;Castelfranco Veneto;TV;Giardinaggio;397;Sì
Consorzio Iricav Due;info@iricav.it;Vicenza;VI;Acciaio;579;Sì
ICM;info@icmspa.it;Vicenza;VI;Metallurgia;503;Sì
Hera Trading;info@hera.it;Trieste;TS;Energia;6700;Sì
OMV Supply & Trading Italia;info@omv.com;Trieste;TS;Energia;6600;Sì
