Company;Email;City;Country;Sector
ABB Schweiz AG;contact.center@ch.abb.com;Zürich;Switzerland;Automation
MABI Robotic AG;info@mabi-robotic.com;Veltheim;Switzerland;Robotics
Roth Technik AG;info@rothtechnik.ch;Zihlschlacht-Sitterdorf;Switzerland;Automation
GS Swiss PCB AG;info@gs-swiss.com;Küssnacht;Switzerland;Manufacturing
Dumont Switzerland;contact@dumont.swiss;Switzerland;Switzerland;Manufacturing
Meto-Fer Automation AG;info@meto-fer.ch;Grenchen;Switzerland;Automation
Help-Tec Automation AG;info@help-tec.ch;Switzerland;Switzerland;Automation
Agfar AG;info@agfar.ch;Orpund;Switzerland;Robotics
BACH INDUSTRY AG;info@bach-industry.com;Switzerland;Switzerland;Manufacturing
ROBO MAT AG;info@robomat.ch;Switzerland;Switzerland;Automation
Xantis Pharma AG;info@xantispharma.com;Zug;Switzerland;Pharma
AD Swiss MedTech SA;info@adswissmed.ch;Gravesano;Switzerland;Medtech
Acino International AG;info@acino.swiss;Zürich;Switzerland;Pharma
Basilea Pharmaceutica Ltd;info@basilea.com;Basel;Switzerland;Pharma
Geistlich Pharma AG;info@geistlich-pharma.com;Wolhusen;Switzerland;Pharma
Vifor Pharma AG;info@viforpharma.ch;Zürich;Switzerland;Pharma
Sandoz AG;info@sandoz.com;Basel;Switzerland;Pharma
Roche Pharma Schweiz AG;ch.diagnostics@roche.com;Basel;Switzerland;Pharma
Novartis Pharma Schweiz AG;investor.relations@novartis.com;Basel;Switzerland;Pharma
Lonza;investor.relations@lonza.com;Basel;Switzerland;Pharma
Syngenta;media.relations@syngenta.com;Basel;Switzerland;Pharma
Idorsia Pharmaceuticals Ltd;info@idorsia.com;Allschwil;Switzerland;Pharma
Siegfried;info@siegfried.ch;Zofingen;Switzerland;Pharma
Stadler Rail;compliance@stadlerrail.com;Bussnang;Switzerland;Manufacturing
Bucher Industries AG;media@bucherindustries.com;Niederweningen;Switzerland;Industrial
SwissFactory.Group;info@swissfactory.group;Bern;Switzerland;Manufacturing
Burckhardt Compression AG;info@burckhardtcompression.com;Winterthur;Switzerland;Manufacturing
Schwab-Feller AG;info@schwab-feller.ch;Büren a.A.;Switzerland;Manufacturing
Gübelin;info@gubelin.com;Lucerne;Switzerland;Manufacturing
OVERTECH GmbH;info@overtechsuisse.ch;Hergiswil;Switzerland;Automation
Wenger Automation;info@wenger-ag.ch;Winterthur;Switzerland;Automation
Robotronic AG;info@robotronic.ch;Switzerland;Switzerland;Robotics
Pharmabotix;info@pharmabotix.ch;Switzerland;Switzerland;Automation
Kinematica;info@kinematica.ch;Lucerne;Switzerland;Manufacturing
Cerbios-Pharma SA;info@cerbios.swiss;Lugano;Switzerland;Pharma
Ewopharma AG;info@ewopharma.com;Schaffhausen;Switzerland;Pharma
EffRx Pharmaceuticals SA;info@effrx.com;Zürich;Switzerland;Pharma
Santhera Pharmaceuticals AG;info@santhera.com;Liestal;Switzerland;Pharma
Stragen Pharma SA;info@stragen.ch;Geneva;Switzerland;Pharma
Alpex Pharma;info@alpex.com;Lugano;Switzerland;Pharma
APR Applied Pharma Research;info@apr.ch;Balerna;Switzerland;Pharma
Labatec Pharma;info@labatecpharma.com;Geneva;Switzerland;Pharma
Saniswiss SA;info@saniswiss.com;Geneva;Switzerland;Pharma
Swiss Alp Health;info@swiss-alp-health.ch;Lausanne;Switzerland;Pharma
Versantis AG;info@versantis.ch;Zürich;Switzerland;Pharma
Adienne Pharma & Biotech;info@adienne.com;Lugano;Switzerland;Pharma
Alpen Pharma AG;info@alpenpharma.com;Bern;Switzerland;Pharma
AstraZeneca AG;info.ch@astrazeneca.com;Baar;Switzerland;Pharma
DCS Pharma AG;info@dcspharma.com;Switzerland;Switzerland;Pharma
Nerum Pharmaceuticals AG;info@nerumpharma.com;Basel;Switzerland;Pharma
MetrioPharm AG;info@metriopharm.com;Zürich;Switzerland;Pharma
Metys Pharmaceuticals AG;info@metys-pharma.ch;Basel;Switzerland;Pharma
MicroContact;office@microcontact.ch;Lostorf;Switzerland;Automation
Stähli Lapping Technology;LTP@stahli.com;Pieterlen;Switzerland;Manufacturing
Biltec AG;info@biltec.ch;St. Gallen;Switzerland;Manufacturing
Eichenberger Automation;info@eichenberger-automation.com;Switzerland;Switzerland;Automation
Georg Fischer Ltd;info@georgfischer.com;Schaffhausen;Switzerland;Industrial
Oerlikon;info@oerlikon.com;Pfäffikon;Switzerland;Industrial
Rieter;info@rieter.com;Winterthur;Switzerland;Manufacturing
Schindler;info@schindler.com;Ebikon;Switzerland;Industrial
Norhage Industri;info@norhageindustri.com;Norway;Norway;Manufacturing
Framo AS;marine@framo.no;Bergen;Norway;Manufacturing
Kongsberg Electronics AS;post@kongsberg-electronics.no;Norway;Norway;Industrial
JM Robotics;salg@jmrobotics.no;Kristiansund;Norway;Robotics
Step Solutions AS;post@stepsolutions.no;Oslo;Norway;Automation
Pharma Nordic AS;post@pharmanordic.no;Ålesund;Norway;Pharma
Palla Pharma Norway;post@pallapharma.no;Kragerø;Norway;Pharma
ACD Pharmaceuticals AS;post@acdpharma.com;Oslo;Norway;Pharma
AH diagnostics AS;ahdiagnostics@ahdiagnostics.no;Oslo;Norway;Pharma
Aqua Pharma;post@aqua-pharma.com;Lillehammer;Norway;Pharma
Asamedic AS;company@asamedic.com;Kolbotn;Norway;Pharma
Curida AS;post@curida.no;Elverum;Norway;Pharma
Elanco Norway;info.norway@elanco.com;Bergen;Norway;Pharma
InsuLife AS;info@insulife.no;Oslo;Norway;Pharma
LEO Pharma Norway AS;info.no@leo-pharma.no;Lysaker;Norway;Pharma
Medhouse;Info.norge@medhouse.com;Oslo;Norway;Pharma
MIM PHARMA;mim@mimpharma.com;Oslo;Norway;Pharma
Navamedic;infono@navamedic.com;Oslo;Norway;Pharma
Norimun;post@norimun.com;Oslo;Norway;Pharma
Oticon AS;info@oticon.no;Oslo;Norway;Pharma
PanPharma Nordic AS;info@panpharma.no;Ski;Norway;Pharma
Pharmatech AS;info@pharmatech.no;Rolvsøy;Norway;Pharma
PHARMAQ AS;customer.service@pharmaq.no;Overhalla;Norway;Pharma
Photocure ASA;info@photocure.no;Oslo;Norway;Pharma
Sana Pharma Medical AS;post@sanapharma.no;Lysaker;Norway;Pharma
Sanofi Norway;medinfo-norge@sanofi.com;Lysaker;Norway;Pharma
Serodus;post@serodus.com;Oslo;Norway;Pharma
Targovax ASA;contact@targovax.com;Lysaker;Norway;Pharma
Teva Norway AS;post@tevapharm.no;Sandvika;Norway;Pharma
Viatris Norway;infonorge@viatris.com;Asker;Norway;Pharma
CODAN Norge AS;codan@codan.no;Gjerdrum;Norway;Pharma
Chiesi Nordic;infonordic@chiesi.com;Oslo;Norway;Pharma
Norconsult;post@norconsult.com;Sandvika;Norway;Engineering
EOH Engineering;eoh@eoh.no;Oslo;Norway;Engineering
ARX Group AS Oslo;oslo@arx.ing;Oslo;Norway;Engineering
ARX Group AS Bergen;bergen@arx.ing;Bergen;Norway;Engineering
Kongsberg Maritime;km.sales@km.kongsberg.com;Kongsberg;Norway;Industrial
Yara International;info@yara.com;Oslo;Norway;Industrial
Norsk Hydro;post@hydro.com;Oslo;Norway;Industrial
Elkem;info@elkem.com;Oslo;Norway;Industrial
Nordic Semiconductor;info@nordicsemi.com;Trondheim;Norway;Engineering
Norner;kjetil.larsen@norner.no;Porsgrunn;Norway;Industrial
Sateba Norway;post@sateba.no;Ringerike;Norway;Manufacturing
Tandberg Engineering;jorn@tane.no;Norway;Norway;Automation
Scanmatic AS;post@scanmatic.no;Norway;Norway;Automation
Intek Robotics;info@intek.no;Raufoss;Norway;Robotics
Hansen Engineering AS;info@hansenengineering.no;Norway;Norway;Automation
Skala Robotech AS;info@skalarobotech.no;Lier;Norway;Robotics
Jotun;info@jotun.no;Sandefjord;Norway;Manufacturing
Kongsberg Automotive;info@kongsbergautomotive.com;Kongsberg;Norway;Manufacturing
Nexans Norway;info@nexans.com;Oslo;Norway;Manufacturing
Mowi;info@mowi.com;Bergen;Norway;Manufacturing
Leroy Seafood Group;info@leroy.no;Bergen;Norway;Manufacturing
AbbVie AS;info@abbvie.no;Fornebu;Norway;Pharma
AstraZeneca AS;info@astrazeneca.no;Oslo;Norway;Pharma
Bayer AS;info@bayer.no;Oslo;Norway;Pharma
Biogen Norway AS;info@biogen.no;Oslo;Norway;Pharma
Bristol Myers Squibb Norway;info@bms.com;Lysaker;Norway;Pharma
Gilead Sciences Norway;nordics.medinfo@gilead.com;Oslo;Norway;Pharma
GlaxoSmithKline Norway;info@gsk.no;Oslo;Norway;Pharma
Janssen-Cilag AS;info@janssen.com;Oslo;Norway;Pharma
Karo Pharma AS;info@karopharma.no;Oslo;Norway;Pharma
Lundbeck Norway;info@lundbeck.no;Lysaker;Norway;Pharma
Novartis Norway;info@novartis.no;Oslo;Norway;Pharma
Novo Nordisk Norway;info@novonordisk.no;Oslo;Norway;Pharma
Pfizer AS;info@pfizer.no;Oslo;Norway;Pharma
Roche Norge AS;info@roche.no;Oslo;Norway;Pharma
Takeda AS;infonorge@takeda.com;Asker;Norway;Pharma
GE Healthcare AS;info@gehealthcare.com;Oslo;Norway;Pharma
