Company;Email;Sito
Engineering Ingegneria Informatica;info@eng.it;https://eng.it
TXT Group;info@txtgroup.com;https://txtgroup.com
Techedge;info@techedge.com;https://techedge.com
Capgemini Italia;info@capgemini.com;https://capgemini.com
Moze;info@moze.it;https://moze.it
glueglue;info@glueglue.com;https://glueglue.com
Codzilla;info@codzilla.it;https://codzilla.it
Cyberbit Genesis;info@cyberbitgenesis.com;https://cyberbitgenesis.com
Ekeria;info@ekeria.com;https://ekeria.com
Algòmera;info@algomera.it;https://algomera.it
Variant;info@variant.it;https://variant.it
Procne;info@procne.it;https://procne.it
Coding Duck;info@codingduck.it;https://codingduck.it
BeAve Studio;info@beavestudio.it;https://beavestudio.it
BFENTERPRISE;info@bfenterprise.it;https://bfenterprise.it
Domino;info@domino.it;https://domino.it
Infocamere;info@infocamere.it;https://infocamere.it
San Marco Informatica;info@sanmarcoinformatica.it;https://sanmarcoinformatica.it
Reply;info@reply.com;https://reply.com
Expert System;info@expertsystem.com;https://expertsystem.com
TeamSystem;info@teamsystem.com;https://teamsystem.com
Dedagroup;info@dedagroup.it;https://dedagroup.it
Sesa;info@sesa.it;https://sesa.it
Lutech;info@lutech.it;https://lutech.it
Nexi;info@nexi.it;https://nexi.it
Banca Sella;info@bancasella.it;https://bancasella.it
Cynny;info@cynny.com;https://cynny.com
MIPU;info@mipu.eu;https://mipu.eu
Zucchetti;info@zucchetti.it;https://zucchetti.it
SAP Italia;info@sap.com;https://sap.com
Oracle Italia;info@oracle.com;https://oracle.com
Microsoft Italia;info@microsoft.com;https://microsoft.com
IBM Italia;info@ibm.com;https://ibm.com
Accenture Italia;info@accenture.com;https://accenture.com
Deloitte Digital;info@deloitte.it;https://deloitte.it
NTT Data;info@nttdata.com;https://nttdata.com
Brennercom;info@brennercom.it;https://brennercom.it
Aruba;info@aruba.it;https://aruba.it
Register;info@register.it;https://register.it
Seeweb;info@seeweb.it;https://seeweb.it
Nethesis;info@nethesis.it;https://nethesis.it
Liferay Italia;info@liferay.com;https://liferay.com
Red Hat Italia;info@redhat.com;https://redhat.com
GitLab Italia;info@gitlab.com;https://gitlab.com
Bitrock;info@bitrock.it;https://bitrock.it
Flowing;info@flowing.it;https://flowing.it
Facile.it;info@facile.it;https://facile.it
Prisma;info@prisma.it;https://prisma.it
Gruppo 4M;info@gruppo4m.it;https://gruppo4m.it
Sintesi;info@sintesi.it;https://sintesi.it
Siemens Digital Industries;info@siemens.com;https://siemens.com
Schneider Electric Italia;info@se.com;https://se.com
ABB Italia;info@abb.com;https://abb.com
Comau;info@comau.com;https://comau.com
KUKA Italia;info@kuka.com;https://kuka.com
Universal Robots;info@universal-robots.com;https://universal-robots.com
FANUC Italia;info@fanuc.eu;https://fanuc.eu
Stäubli;info@staubli.com;https://staubli.com
Novi Data;info@novidata.it;https://novidata.it
I-CON;info@iconservizi.com;https://iconservizi.com
Gestione Informatica;info@gestioneinformatica.com;https://gestioneinformatica.com
Alfa Service;info@alfaservice.it;https://alfaservice.it
Vecomp;info@vecomp.it;https://vecomp.it
Hotswap;info@hotswap.it;https://hotswap.it
Mine Consulting;info@mineconsulting.it;https://mineconsulting.it
Mono;info@mono.studio;https://mono.studio
Fifth Beat;info@fifthbeat.com;https://fifthbeat.com
Domino SRL;info@domino.it;https://domino.it
DENET;info@denet.it;https://denet.it
2 BM;info@2bm.it;https://2bm.it
Aindo;info@aindo.com;https://aindo.com
Eye-Tech;info@eye-tech.it;https://eye-tech.it
Exprivia;info@exprivia.it;https://exprivia.it
Net Service;info@netservice.eu;https://netservice.eu
Datamantix;info@datamantix.com;https://datamantix.com
Eni;info@eni.com;https://eni.com
Enel;info@enel.com;https://enel.com
Intesa Sanpaolo;info@intesasanpaolo.com;https://intesasanpaolo.com
Generali;info@generali.com;https://generali.com
UniCredit;info@unicredit.it;https://unicredit.it
Poste Italiane;info@posteitaliane.it;https://posteitaliane.it
Telecom Italia;info@tim.it;https://tim.it
Leonardo;info@leonardocompany.com;https://leonardocompany.com
Pirelli;info@pirelli.com;https://pirelli.com
Ferrari;info@ferrari.com;https://ferrari.com
Stellantis;info@stellantis.com;https://stellantis.com
Moncler;info@moncler.com;https://moncler.com
Prada;info@prada.com;https://prada.com
Salvatore Ferragamo;info@ferragamo.com;https://ferragamo.com
Terna;info@terna.it;https://terna.it
Snam;info@snam.it;https://snam.it
Italgas;info@italgas.it;https://italgas.it
A2A;info@a2a.eu;https://a2a.eu
Hera;info@gruppohera.it;https://gruppohera.it
Iren;info@iren.it;https://iren.it
Amplifon;info@amplifon.com;https://amplifon.com
DiaSorin;info@diasorin.com;https://diasorin.com
Recordati;info@recordati.com;https://recordati.com
Datalogic;info@datalogic.com;https://datalogic.com
Technogym;info@technogym.com;https://technogym.com
Brunello Cucinelli;info@brunellocucinelli.com;https://brunellocucinelli.com
Campari;info@campari.com;https://campari.com
Davide Campari;info@campari.com;https://campari.com
Prysmian;info@prysmian.com;https://prysmian.com
Tenaris;info@tenaris.com;https://tenaris.com
Saipem;info@saipem.com;https://saipem.com
Saras;info@saras.it;https://saras.it
ERG;info@erg.it;https://erg.it
Banca Mediolanum;info@mediolanum.it;https://mediolanum.it
FinecoBank;info@finecobank.com;https://finecobank.com
Mediobanca;info@mediobanca.com;https://mediobanca.com
Assicurazioni Generali;info@generali.com;https://generali.com
CNH Industrial;info@cnhindustrial.com;https://cnhindustrial.com
Iveco Group;info@ivecogroup.com;https://ivecogroup.com
Webuild;info@webuild.it;https://webuild.it
Atlantia;info@atlantia.it;https://atlantia.it
Autostrade per l'Italia;info@autostrade.it;https://autostrade.it
Ansaldo Energia;info@ansaldoenergia.com;https://ansaldoenergia.com
Ansaldo STS;info@hitachirail.com;https://hitachirail.com
Cattolica Assicurazioni;info@cattolica.it;https://cattolica.it
Banca Monte dei Paschi;info@mps.it;https://mps.it
BPER Banca;info@bper.it;https://bper.it
Banca Popolare di Sondrio;info@popso.it;https://popso.it
Credem;info@credem.it;https://credem.it
UBI Banca;info@ubibanca.it;https://ubibanca.it
Banco BPM;info@bancobpm.it;https://bancobpm.it
De' Longhi;info@delonghi.com;https://delonghi.com
Candy Hoover;info@candy-home.com;https://candy-home.com
Whirlpool EMEA;info@whirlpool.com;https://whirlpool.com
Indesit;info@indesit.com;https://indesit.com
Mapei;info@mapei.com;https://mapei.com
Marazzi;info@marazzi.it;https://marazzi.it
Iris Ceramica;info@irisceramica.com;https://irisceramica.com
Barilla;info@barilla.com;https://barilla.com
Ferrero;info@ferrero.com;https://ferrero.com
Lavazza;info@lavazza.com;https://lavazza.com
Parmalat;info@parmalat.it;https://parmalat.it
Granarolo;info@granarolo.it;https://granarolo.it
illycaffè;info@illy.com;https://illy.com
Davines;info@davines.com;https://davines.com
Luxottica;info@luxottica.com;https://luxottica.com
Safilo;info@safilo.com;https://safilo.com
Marcolin;info@marcolin.com;https://marcolin.com
Geox;info@geox.com;https://geox.com
Tod's;info@tods.com;https://tods.com
Ermenegildo Zegna;info@zegna.com;https://zegna.com
Diesel;info@diesel.com;https://diesel.com
Benetton;info@benetton.com;https://benetton.com
Stefanel;info@stefanel.com;https://stefanel.com
Calzedonia;info@calzedonia.com;https://calzedonia.com
OVS;info@ovs.it;https://ovs.it
Esselunga;info@esselunga.it;https://esselunga.it
Conad;info@conad.it;https://conad.it
Coop Italia;info@e.coop.it;https://e.coop.it
Autogrill;info@autogrill.net;https://autogrill.net
D'Amico;info@damicoship.com;https://damicoship.com
Grimaldi;info@grimaldi.napoli.it;https://grimaldi-lines.com
MSC;info@msc.com;https://msc.com
Costa Crociere;info@costacruises.com;https://costacruises.com
Fincantieri;info@fincantieri.com;https://fincantieri.com
Rai;info@rai.it;https://rai.it
Mediaset;info@mediaset.it;https://mediaset.it
RCS MediaGroup;info@rcs.it;https://rcs.it
GEDI;info@gedi.it;https://gedi.it
Il Sole 24 Ore;info@ilsole24ore.com;https://ilsole24ore.com
Brembo;info@brembo.com;https://brembo.com
Marposs;info@marposs.com;https://marposs.com
Carraro;info@carraro.com;https://carraro.com
Danieli;info@danieli.com;https://danieli.com
Riva Acciaio;info@rivaacciao.it;https://rivaacciao.it
Alfa Acciai;info@alfaacciai.it;https://alfaacciai.it
Ansaldo;info@ansaldoenergia.com;https://ansaldoenergia.com
Bonfiglioli;info@bonfiglioli.com;https://bonfiglioli.com
Sew-Eurodrive;info@sew-eurodrive.it;https://sew-eurodrive.it
ABB;info@abb.com;https://abb.com
Bosch Rexroth;info@boschrexroth.it;https://boschrexroth.it
Festo;info@festo.com;https://festo.com
SMC Italia;info@smc.it;https://smc.it
Schneider Electric;info@se.com;https://se.com
Omron;info@omron.com;https://omron.com
Mitsubishi Electric;info@mitsubishielectric.com;https://mitsubishielectric.com
Yaskawa;info@yaskawa.eu;https://yaskawa.eu
Epson;info@epson.it;https://epson.it
Dassault Systèmes;info@3ds.com;https://3ds.com
Siemens;info@siemens.com;https://siemens.com
Rockwell Automation;info@rockwellautomation.com;https://rockwellautomation.com
Honeywell;info@honeywell.com;https://honeywell.com
Emerson;info@emerson.com;https://emerson.com
Endress+Hauser;info@endress.com;https://endress.com
